fold,epoch,local_weight,global_weight,train_loss,val_auc,val_aupr,learning_rate,is_best_epoch
1,1,0.5000100135803223,0.4999900162220001,1.949155569076538,0.5367019628099173,0.5423240824119349,4e-05,False
1,2,0.5000298619270325,0.4999701678752899,1.9348504543304443,0.5618181818181818,0.5687164841862853,6e-05,False
1,3,0.5000596642494202,0.49994030594825745,1.9117008447647095,0.5915960743801653,0.598134928896931,8e-05,False
1,4,0.5000997185707092,0.49990028142929077,1.876410722732544,0.6194860537190083,0.6265981866508598,0.0001,False
1,5,0.5001494884490967,0.4998505413532257,1.8331760168075562,0.6435872933884297,0.6519240528770767,0.00012,False
1,6,0.5001961588859558,0.4998038411140442,1.793269157409668,0.6616322314049587,0.6725274538127273,0.00014000000000000001,False
1,7,0.500234842300415,0.4997651278972626,1.7502334117889404,0.6737939049586776,0.6869778642462021,0.00016,False
1,8,0.5002471804618835,0.49975284934043884,1.7148528099060059,0.6818801652892562,0.6977167845932423,0.00017999999999999998,False
1,9,0.5002392530441284,0.4997607171535492,1.6838371753692627,0.6873243801652893,0.7068632125720107,0.0002,False
1,10,0.5002067685127258,0.4997931718826294,1.6529414653778076,0.6928822314049586,0.715341715242942,0.00022,False
1,11,0.5001474618911743,0.49985256791114807,1.625734806060791,0.6975878099173554,0.7217084591696953,0.00024,False
1,12,0.5000654458999634,0.49993452429771423,1.6052271127700806,0.70286673553719,0.7272482376736031,0.00026000000000000003,False
1,13,0.4999638497829437,0.5000361800193787,1.575638771057129,0.7084400826446281,0.7344355767354721,0.00028000000000000003,False
1,14,0.49984413385391235,0.5001558661460876,1.5527979135513306,0.7157128099173553,0.742682654503599,0.0003,False
1,15,0.4997071921825409,0.5002928376197815,1.5331584215164185,0.7230630165289256,0.7513327687153387,0.00032,False
1,16,0.499553382396698,0.500446617603302,1.5101256370544434,0.7314462809917355,0.7597167862891911,0.00034,False
1,17,0.4993833601474762,0.5006166696548462,1.4843144416809082,0.740914256198347,0.769030162274851,0.00035999999999999997,False
1,18,0.49919745326042175,0.5008025765419006,1.4704161882400513,0.7513223140495868,0.7787665841109275,0.00038,False
1,19,0.4989962577819824,0.5010037422180176,1.4439036846160889,0.7617665289256198,0.7881194353291652,0.0004,False
1,20,0.4987800419330597,0.5012199282646179,1.4225224256515503,0.7720919421487603,0.7961155161692892,0.00042,False
1,21,0.4985477328300476,0.5014522671699524,1.396996021270752,0.7810847107438017,0.8018932472452335,0.00044,False
1,22,0.4982995390892029,0.5017004609107971,1.371597170829773,0.7896022727272727,0.8071944166831593,0.00046,False
1,23,0.49803468585014343,0.5019652843475342,1.347425937652588,0.7981146694214877,0.8134579971676575,0.00048,False
1,24,0.4977540075778961,0.5022460222244263,1.3189680576324463,0.8057851239669421,0.8173875179707695,0.0005,False
1,25,0.4974564015865326,0.5025436282157898,1.2924480438232422,0.8134814049586776,0.8227807271160358,0.0005200000000000001,False
1,26,0.49714142084121704,0.5028586387634277,1.2667502164840698,0.821301652892562,0.8260071010559666,0.00054,False
1,27,0.49680885672569275,0.5031911730766296,1.253135323524475,0.8306456611570248,0.8321762168687457,0.0005600000000000001,False
1,28,0.4964585602283478,0.5035414099693298,1.2311903238296509,0.8389927685950413,0.8379190082333532,0.00058,False
1,29,0.4960903525352478,0.5039096474647522,1.20963716506958,0.847603305785124,0.8456199814285774,0.0006,False
1,30,0.49570396542549133,0.504296064376831,1.1865280866622925,0.8555785123966942,0.8508458690648648,0.00062,False
