fold,meta_index,drug_index,label,local_weight,global_weight,local_logit,global_logit,local_contribution,global_contribution,fused_logit,probability
1,30,438,1.0,0.37992787,0.62007207,0.981759,-4.3839707,0.3729976,-2.7183778,-2.3453803,0.087433666
1,276,198,1.0,0.37992787,0.62007207,7.1556606,8.667275,2.7186348,5.3743353,8.09297,0.99969447
1,37,293,1.0,0.37992787,0.62007207,4.6552377,7.160484,1.7686546,4.440016,6.2086706,0.99799216
1,146,293,1.0,0.37992787,0.62007207,5.1760435,5.82981,1.9665232,3.6149025,5.5814257,0.996247
1,73,572,1.0,0.37992787,0.62007207,1.4390365,7.490559,0.5467301,4.6446867,5.1914167,0.9944667
1,65,343,1.0,0.37992787,0.62007207,-0.7613043,2.2872357,-0.28924072,1.418251,1.1290103,0.75565624
1,257,18,1.0,0.37992787,0.62007207,3.6255374,6.827652,1.3774427,4.2336364,5.611079,0.99635625
1,262,226,1.0,0.37992787,0.62007207,3.5822806,7.4710755,1.3610083,4.632605,5.9936132,0.9975115
1,416,343,1.0,0.37992787,0.62007207,2.9877696,6.9423003,1.135137,4.3047266,5.4398637,0.9956787
1,390,78,1.0,0.37992787,0.62007207,5.6994286,12.321971,2.1653717,7.64051,9.8058815,0.9999449
1,16,324,1.0,0.37992787,0.62007207,4.8171396,8.3732395,1.8301656,5.192012,7.0221777,0.99910885
1,107,103,1.0,0.37992787,0.62007207,5.452712,5.415558,2.0716374,3.358036,5.429673,0.9956346
1,414,138,1.0,0.37992787,0.62007207,-0.24333619,-4.9609127,-0.0924502,-3.0761235,-3.1685736,0.040365633
1,227,58,1.0,0.37992787,0.62007207,7.0855865,7.7060003,2.6920118,4.7782755,7.4702873,0.9994305
1,79,363,1.0,0.37992787,0.62007207,6.9942856,4.608759,2.657324,2.8577626,5.5150867,0.9959906
1,12,198,1.0,0.37992787,0.62007207,4.0973587,5.0772247,1.5567008,3.1482453,4.704946,0.9910308
1,19,574,1.0,0.37992787,0.62007207,-1.8450822,-9.6143875,-0.7009981,-5.961613,-6.6626115,0.0012761743
1,195,52,1.0,0.37992787,0.62007207,1.530363,-2.5914657,0.5814276,-1.6068954,-1.0254679,0.2639637
1,63,347,1.0,0.37992787,0.62007207,5.2081766,9.401564,1.9787315,5.829647,7.8083787,0.9995939
1,39,383,1.0,0.37992787,0.62007207,4.1580358,7.9134398,1.5797536,4.906903,6.486656,0.9984787
1,84,139,1.0,0.37992787,0.62007207,0.64258885,1.892824,0.24413742,1.1736873,1.4178247,0.80499715
1,423,566,1.0,0.37992787,0.62007207,4.3272734,1.7511659,1.6440518,1.085849,2.7299008,0.93876815
1,343,198,1.0,0.37992787,0.62007207,7.964659,6.9782715,3.025996,4.327031,7.3530273,0.9993598
1,79,367,1.0,0.37992787,0.62007207,6.9003744,4.2040844,2.6216445,2.6068354,5.22848,0.99466693
1,79,582,1.0,0.37992787,0.62007207,4.400008,2.9240992,1.6716858,1.8131522,3.484838,0.9702533
1,11,149,1.0,0.37992787,0.62007207,1.3051697,-2.6366777,0.49587035,-1.6349303,-1.1390599,0.24249303
1,275,198,1.0,0.37992787,0.62007207,5.827325,7.6093636,2.213963,4.7183537,6.932317,0.9990252
1,193,204,1.0,0.37992787,0.62007207,3.6683664,3.5784004,1.3937147,2.218866,3.6125808,0.9737268
1,16,510,1.0,0.37992787,0.62007207,-3.0418215,-8.497477,-1.1556728,-5.2690477,-6.424721,0.0016183624
1,193,192,1.0,0.37992787,0.62007207,-0.91725767,4.20391,-0.34849176,2.6067271,2.2582355,0.90535855
1,107,275,1.0,0.37992787,0.62007207,3.6020172,7.0558333,1.3685067,4.375125,5.7436314,0.9968071
1,99,490,1.0,0.37992787,0.62007207,3.6494725,8.425109,1.3865364,5.2241745,6.610711,0.9986559
1,347,197,1.0,0.37992787,0.62007207,-1.1820098,-23.834158,-0.44907847,-14.778895,-15.227974,2.4354256e-07
1,11,284,1.0,0.37992787,0.62007207,2.5330462,1.3635218,0.96237487,0.8454818,1.8078567,0.8591026
1,264,331,1.0,0.37992787,0.62007207,-6.132349,-12.628027,-2.3298504,-7.830287,-10.160137,3.8680464e-05
1,27,407,1.0,0.37992787,0.62007207,7.1768384,3.3948455,2.726681,2.105049,4.83173,0.99209034
1,232,545,1.0,0.37992787,0.62007207,0.57004195,7.7804084,0.21657483,4.824414,5.0409884,0.9935742
1,247,376,1.0,0.37992787,0.62007207,1.3120638,2.4837487,0.49848962,1.5401032,2.0385928,0.8847899
1,27,319,1.0,0.37992787,0.62007207,4.4384794,6.5390205,1.6863021,4.054664,5.7409663,0.99679863
1,286,58,1.0,0.37992787,0.62007207,6.094059,7.6925683,2.3153028,4.7699466,7.0852494,0.9991634
1,27,114,1.0,0.37992787,0.62007207,6.4940815,7.1843224,2.4672825,4.4547977,6.92208,0.9990152
1,194,143,1.0,0.37992787,0.62007207,2.307733,5.980608,0.8767721,3.7084079,4.58518,0.9899011
1,3,321,1.0,0.37992787,0.62007207,3.9983418,-4.1365438,1.5190815,-2.5649552,-1.0458738,0.26001823
1,113,465,1.0,0.37992787,0.62007207,-3.9662673,-12.828653,-1.5068955,-7.9546895,-9.461585,7.777716e-05
1,107,100,1.0,0.37992787,0.62007207,6.3279037,4.865457,2.404147,3.016934,5.4210806,0.9955972
1,27,173,1.0,0.37992787,0.62007207,4.193654,5.3279405,1.593286,3.3037071,4.896993,0.9925863
1,87,176,1.0,0.37992787,0.62007207,3.8401003,6.2285705,1.4589611,3.8621626,5.3211236,0.99513656
1,20,320,1.0,0.37992787,0.62007207,4.4869275,7.6010303,1.7047088,4.7131867,6.4178953,0.9983706
1,0,69,1.0,0.37992787,0.62007207,3.423297,2.4168103,1.3006059,1.4985965,2.7992024,0.9426327
1,107,344,1.0,0.37992787,0.62007207,8.255143,5.1122475,3.136359,3.169962,6.306321,0.9981786
1,26,143,1.0,0.37992787,0.62007207,3.4128861,3.0693238,1.2966505,1.9032019,3.1998525,0.96082866
1,84,268,1.0,0.37992787,0.62007207,0.7552697,-6.310016,0.28694803,-3.9126647,-3.6257167,0.025939241
1,3,416,1.0,0.37992787,0.62007207,3.50805,-4.057261,1.332806,-2.5157943,-1.1829883,0.23451534
1,170,347,1.0,0.37992787,0.62007207,2.0083163,3.5543182,0.76301533,2.2039335,2.9669487,0.9510585
1,17,289,1.0,0.37992787,0.62007207,4.365661,6.1514425,1.6586363,3.8143377,5.472974,0.9958189
1,69,499,1.0,0.37992787,0.62007207,3.3796196,8.009233,1.2840117,4.966302,6.2503138,0.9980738
1,107,236,1.0,0.37992787,0.62007207,3.2066007,3.4559991,1.218277,2.1429684,3.3612454,0.96647114
1,27,233,1.0,0.37992787,0.62007207,4.7448616,3.099849,1.8027052,1.9221298,3.724835,0.9764508
1,69,427,1.0,0.37992787,0.62007207,4.436266,8.308115,1.685461,5.15163,6.837091,0.9989279
